Matrix Size, Threads, Function, Implementation, Execution Time
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 1, TRANSPOSITION, IMPLICIT, 0.000001
16, 1, SYMMETRY, OMP, 0.000075
16, 1, TRANSPOSITION, OMP, 0.000003
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 1, TRANSPOSITION, IMPLICIT, 0.000001
16, 1, SYMMETRY, OMP, 0.000042
16, 1, TRANSPOSITION, OMP, 0.000002
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 1, TRANSPOSITION, IMPLICIT, 0.000001
16, 1, SYMMETRY, OMP, 0.000042
16, 1, TRANSPOSITION, OMP, 0.000002
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 1, TRANSPOSITION, IMPLICIT, 0.000001
16, 1, SYMMETRY, OMP, 0.000041
16, 1, TRANSPOSITION, OMP, 0.000002
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 1, TRANSPOSITION, IMPLICIT, 0.000001
16, 1, SYMMETRY, OMP, 0.000041
16, 1, TRANSPOSITION, OMP, 0.000002
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 1, TRANSPOSITION, IMPLICIT, 0.000002
32, 1, SYMMETRY, OMP, 0.000091
32, 1, TRANSPOSITION, OMP, 0.000005
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 1, TRANSPOSITION, IMPLICIT, 0.000002
32, 1, SYMMETRY, OMP, 0.000085
32, 1, TRANSPOSITION, OMP, 0.000005
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000011
32, 1, TRANSPOSITION, IMPLICIT, 0.000002
32, 1, SYMMETRY, OMP, 0.000085
32, 1, TRANSPOSITION, OMP, 0.000005
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 1, TRANSPOSITION, IMPLICIT, 0.000002
32, 1, SYMMETRY, OMP, 0.000084
32, 1, TRANSPOSITION, OMP, 0.000005
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 1, TRANSPOSITION, IMPLICIT, 0.000002
32, 1, SYMMETRY, OMP, 0.000085
32, 1, TRANSPOSITION, OMP, 0.000005
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000009
64, 1, TRANSPOSITION, IMPLICIT, 0.000007
64, 1, SYMMETRY, OMP, 0.000178
64, 1, TRANSPOSITION, OMP, 0.000014
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 1, TRANSPOSITION, IMPLICIT, 0.000007
64, 1, SYMMETRY, OMP, 0.000174
64, 1, TRANSPOSITION, OMP, 0.000014
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 1, TRANSPOSITION, IMPLICIT, 0.000015
64, 1, SYMMETRY, OMP, 0.000175
64, 1, TRANSPOSITION, OMP, 0.000014
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 1, TRANSPOSITION, IMPLICIT, 0.000009
64, 1, SYMMETRY, OMP, 0.000175
64, 1, TRANSPOSITION, OMP, 0.000014
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 1, TRANSPOSITION, IMPLICIT, 0.000007
64, 1, SYMMETRY, OMP, 0.000175
64, 1, TRANSPOSITION, OMP, 0.000014
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000035
128, 1, TRANSPOSITION, IMPLICIT, 0.000037
128, 1, SYMMETRY, OMP, 0.000374
128, 1, TRANSPOSITION, OMP, 0.000054
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000032
128, 1, TRANSPOSITION, IMPLICIT, 0.000037
128, 1, SYMMETRY, OMP, 0.000369
128, 1, TRANSPOSITION, OMP, 0.000054
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000031
128, 1, TRANSPOSITION, IMPLICIT, 0.000036
128, 1, SYMMETRY, OMP, 0.000378
128, 1, TRANSPOSITION, OMP, 0.000054
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000031
128, 1, TRANSPOSITION, IMPLICIT, 0.000037
128, 1, SYMMETRY, OMP, 0.000371
128, 1, TRANSPOSITION, OMP, 0.000054
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000032
128, 1, TRANSPOSITION, IMPLICIT, 0.000037
128, 1, SYMMETRY, OMP, 0.000371
128, 1, TRANSPOSITION, OMP, 0.000054
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000164
256, 1, TRANSPOSITION, IMPLICIT, 0.000143
256, 1, SYMMETRY, OMP, 0.000840
256, 1, TRANSPOSITION, OMP, 0.000208
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000137
256, 1, TRANSPOSITION, IMPLICIT, 0.000158
256, 1, SYMMETRY, OMP, 0.000834
256, 1, TRANSPOSITION, OMP, 0.000208
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000136
256, 1, TRANSPOSITION, IMPLICIT, 0.000058
256, 1, SYMMETRY, OMP, 0.000358
256, 1, TRANSPOSITION, OMP, 0.000086
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000057
256, 1, TRANSPOSITION, IMPLICIT, 0.000063
256, 1, SYMMETRY, OMP, 0.000355
256, 1, TRANSPOSITION, OMP, 0.000089
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000057
256, 1, TRANSPOSITION, IMPLICIT, 0.000063
256, 1, SYMMETRY, OMP, 0.000356
256, 1, TRANSPOSITION, OMP, 0.000086
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000568
512, 1, TRANSPOSITION, IMPLICIT, 0.000571
512, 1, SYMMETRY, OMP, 0.000876
512, 1, TRANSPOSITION, OMP, 0.000559
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000472
512, 1, TRANSPOSITION, IMPLICIT, 0.000410
512, 1, SYMMETRY, OMP, 0.000607
512, 1, TRANSPOSITION, OMP, 0.000397
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000410
512, 1, TRANSPOSITION, IMPLICIT, 0.000409
512, 1, SYMMETRY, OMP, 0.000601
512, 1, TRANSPOSITION, OMP, 0.000392
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000408
512, 1, TRANSPOSITION, IMPLICIT, 0.000406
512, 1, SYMMETRY, OMP, 0.000597
512, 1, TRANSPOSITION, OMP, 0.000395
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000409
512, 1, TRANSPOSITION, IMPLICIT, 0.000407
512, 1, SYMMETRY, OMP, 0.000598
512, 1, TRANSPOSITION, OMP, 0.000396
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001823
1024, 1, TRANSPOSITION, IMPLICIT, 0.001651
1024, 1, SYMMETRY, OMP, 0.001590
1024, 1, TRANSPOSITION, OMP, 0.001798
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001655
1024, 1, TRANSPOSITION, IMPLICIT, 0.001628
1024, 1, SYMMETRY, OMP, 0.001583
1024, 1, TRANSPOSITION, OMP, 0.001784
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001651
1024, 1, TRANSPOSITION, IMPLICIT, 0.001616
1024, 1, SYMMETRY, OMP, 0.001576
1024, 1, TRANSPOSITION, OMP, 0.001773
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001616
1024, 1, TRANSPOSITION, IMPLICIT, 0.001609
1024, 1, SYMMETRY, OMP, 0.001564
1024, 1, TRANSPOSITION, OMP, 0.001762
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001610
1024, 1, TRANSPOSITION, IMPLICIT, 0.001604
1024, 1, SYMMETRY, OMP, 0.001565
1024, 1, TRANSPOSITION, OMP, 0.001762
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.026028
2048, 1, TRANSPOSITION, IMPLICIT, 0.021322
2048, 1, SYMMETRY, OMP, 0.007500
2048, 1, TRANSPOSITION, OMP, 0.019567
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.021295
2048, 1, TRANSPOSITION, IMPLICIT, 0.021259
2048, 1, SYMMETRY, OMP, 0.007224
2048, 1, TRANSPOSITION, OMP, 0.019548
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.021263
2048, 1, TRANSPOSITION, IMPLICIT, 0.021291
2048, 1, SYMMETRY, OMP, 0.007160
2048, 1, TRANSPOSITION, OMP, 0.019533
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.021320
2048, 1, TRANSPOSITION, IMPLICIT, 0.021308
2048, 1, SYMMETRY, OMP, 0.007127
2048, 1, TRANSPOSITION, OMP, 0.019534
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.021869
2048, 1, TRANSPOSITION, IMPLICIT, 0.022591
2048, 1, SYMMETRY, OMP, 0.007228
2048, 1, TRANSPOSITION, OMP, 0.019747
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000014
16, 1, TRANSPOSITION, OMP, 0.000001
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000012
16, 1, TRANSPOSITION, OMP, 0.000001
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000012
16, 1, TRANSPOSITION, OMP, 0.000001
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000012
16, 1, TRANSPOSITION, OMP, 0.000001
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000012
16, 1, TRANSPOSITION, OMP, 0.000001
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 1, TRANSPOSITION, IMPLICIT, 0.000001
32, 1, SYMMETRY, OMP, 0.000026
32, 1, TRANSPOSITION, OMP, 0.000002
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 1, TRANSPOSITION, IMPLICIT, 0.000001
32, 1, SYMMETRY, OMP, 0.000025
32, 1, TRANSPOSITION, OMP, 0.000001
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 1, TRANSPOSITION, IMPLICIT, 0.000001
32, 1, SYMMETRY, OMP, 0.000025
32, 1, TRANSPOSITION, OMP, 0.000001
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 1, TRANSPOSITION, IMPLICIT, 0.000001
32, 1, SYMMETRY, OMP, 0.000025
32, 1, TRANSPOSITION, OMP, 0.000001
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 1, TRANSPOSITION, IMPLICIT, 0.000001
32, 1, SYMMETRY, OMP, 0.000025
32, 1, TRANSPOSITION, OMP, 0.000001
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 1, TRANSPOSITION, IMPLICIT, 0.000002
64, 1, SYMMETRY, OMP, 0.000052
64, 1, TRANSPOSITION, OMP, 0.000004
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 1, TRANSPOSITION, IMPLICIT, 0.000002
64, 1, SYMMETRY, OMP, 0.000051
64, 1, TRANSPOSITION, OMP, 0.000004
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 1, TRANSPOSITION, IMPLICIT, 0.000002
64, 1, SYMMETRY, OMP, 0.000051
64, 1, TRANSPOSITION, OMP, 0.000004
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 1, TRANSPOSITION, IMPLICIT, 0.000002
64, 1, SYMMETRY, OMP, 0.000051
64, 1, TRANSPOSITION, OMP, 0.000004
64, 1, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 1, TRANSPOSITION, IMPLICIT, 0.000002
64, 1, SYMMETRY, OMP, 0.000051
64, 1, TRANSPOSITION, OMP, 0.000004
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000013
128, 1, TRANSPOSITION, IMPLICIT, 0.000010
128, 1, SYMMETRY, OMP, 0.000111
128, 1, TRANSPOSITION, OMP, 0.000015
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000009
128, 1, TRANSPOSITION, IMPLICIT, 0.000010
128, 1, SYMMETRY, OMP, 0.000108
128, 1, TRANSPOSITION, OMP, 0.000015
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000009
128, 1, TRANSPOSITION, IMPLICIT, 0.000010
128, 1, SYMMETRY, OMP, 0.000108
128, 1, TRANSPOSITION, OMP, 0.000015
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000009
128, 1, TRANSPOSITION, IMPLICIT, 0.000010
128, 1, SYMMETRY, OMP, 0.000108
128, 1, TRANSPOSITION, OMP, 0.000015
128, 1, TRANSPOSITION, SEQUENTIAL, 0.000009
128, 1, TRANSPOSITION, IMPLICIT, 0.000010
128, 1, SYMMETRY, OMP, 0.000108
128, 1, TRANSPOSITION, OMP, 0.000015
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000055
256, 1, TRANSPOSITION, IMPLICIT, 0.000038
256, 1, SYMMETRY, OMP, 0.000241
256, 1, TRANSPOSITION, OMP, 0.000063
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000037
256, 1, TRANSPOSITION, IMPLICIT, 0.000041
256, 1, SYMMETRY, OMP, 0.000238
256, 1, TRANSPOSITION, OMP, 0.000057
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000037
256, 1, TRANSPOSITION, IMPLICIT, 0.000042
256, 1, SYMMETRY, OMP, 0.000241
256, 1, TRANSPOSITION, OMP, 0.000057
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000037
256, 1, TRANSPOSITION, IMPLICIT, 0.000039
256, 1, SYMMETRY, OMP, 0.000240
256, 1, TRANSPOSITION, OMP, 0.000057
256, 1, TRANSPOSITION, SEQUENTIAL, 0.000036
256, 1, TRANSPOSITION, IMPLICIT, 0.000038
256, 1, SYMMETRY, OMP, 0.000244
256, 1, TRANSPOSITION, OMP, 0.000057
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000393
512, 1, TRANSPOSITION, IMPLICIT, 0.000387
512, 1, SYMMETRY, OMP, 0.000589
512, 1, TRANSPOSITION, OMP, 0.000381
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000387
512, 1, TRANSPOSITION, IMPLICIT, 0.000385
512, 1, SYMMETRY, OMP, 0.000583
512, 1, TRANSPOSITION, OMP, 0.000376
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000392
512, 1, TRANSPOSITION, IMPLICIT, 0.000385
512, 1, SYMMETRY, OMP, 0.000583
512, 1, TRANSPOSITION, OMP, 0.000378
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000386
512, 1, TRANSPOSITION, IMPLICIT, 0.000386
512, 1, SYMMETRY, OMP, 0.000585
512, 1, TRANSPOSITION, OMP, 0.000378
512, 1, TRANSPOSITION, SEQUENTIAL, 0.000386
512, 1, TRANSPOSITION, IMPLICIT, 0.000388
512, 1, SYMMETRY, OMP, 0.000584
512, 1, TRANSPOSITION, OMP, 0.000380
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001641
1024, 1, TRANSPOSITION, IMPLICIT, 0.001620
1024, 1, SYMMETRY, OMP, 0.001568
1024, 1, TRANSPOSITION, OMP, 0.001763
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001594
1024, 1, TRANSPOSITION, IMPLICIT, 0.001601
1024, 1, SYMMETRY, OMP, 0.001568
1024, 1, TRANSPOSITION, OMP, 0.001758
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001598
1024, 1, TRANSPOSITION, IMPLICIT, 0.001613
1024, 1, SYMMETRY, OMP, 0.001570
1024, 1, TRANSPOSITION, OMP, 0.001759
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001599
1024, 1, TRANSPOSITION, IMPLICIT, 0.001622
1024, 1, SYMMETRY, OMP, 0.001572
1024, 1, TRANSPOSITION, OMP, 0.001756
1024, 1, TRANSPOSITION, SEQUENTIAL, 0.001593
1024, 1, TRANSPOSITION, IMPLICIT, 0.001608
1024, 1, SYMMETRY, OMP, 0.001565
1024, 1, TRANSPOSITION, OMP, 0.001764
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.024155
2048, 1, TRANSPOSITION, IMPLICIT, 0.021177
2048, 1, SYMMETRY, OMP, 0.007273
2048, 1, TRANSPOSITION, OMP, 0.019525
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.021207
2048, 1, TRANSPOSITION, IMPLICIT, 0.021216
2048, 1, SYMMETRY, OMP, 0.007146
2048, 1, TRANSPOSITION, OMP, 0.019502
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.021255
2048, 1, TRANSPOSITION, IMPLICIT, 0.021237
2048, 1, SYMMETRY, OMP, 0.007107
2048, 1, TRANSPOSITION, OMP, 0.019520
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.021258
2048, 1, TRANSPOSITION, IMPLICIT, 0.021285
2048, 1, SYMMETRY, OMP, 0.007089
2048, 1, TRANSPOSITION, OMP, 0.019496
2048, 1, TRANSPOSITION, SEQUENTIAL, 0.021264
2048, 1, TRANSPOSITION, IMPLICIT, 0.021253
2048, 1, SYMMETRY, OMP, 0.007045
2048, 1, TRANSPOSITION, OMP, 0.019510
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000014
16, 1, TRANSPOSITION, OMP, 0.000001
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000012
16, 1, TRANSPOSITION, OMP, 0.000001
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000012
16, 1, TRANSPOSITION, OMP, 0.000001
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000012
16, 1, TRANSPOSITION, OMP, 0.000001
16, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 1, TRANSPOSITION, IMPLICIT, 0.000000
16, 1, SYMMETRY, OMP, 0.000012
16, 1, TRANSPOSITION, OMP, 0.000001
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 1, TRANSPOSITION, IMPLICIT, 0.000001
32, 1, SYMMETRY, OMP, 0.000026
32, 1, TRANSPOSITION, OMP, 0.000001
32, 1, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 1, TRANSPOSITION, IMPLICIT, 0.000001
32, 1, SYMMETRY, OMP, 0.000025
