Matrix Size, Threads, Function, Implementation, Execution Time
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 2, TRANSPOSITION, IMPLICIT, 0.000001
16, 2, SYMMETRY, OMP, 0.000270
16, 2, TRANSPOSITION, OMP, 0.000007
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 2, TRANSPOSITION, IMPLICIT, 0.000001
16, 2, SYMMETRY, OMP, 0.000032
16, 2, TRANSPOSITION, OMP, 0.000014
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 2, TRANSPOSITION, IMPLICIT, 0.000001
16, 2, SYMMETRY, OMP, 0.000032
16, 2, TRANSPOSITION, OMP, 0.000010
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 2, TRANSPOSITION, IMPLICIT, 0.000001
16, 2, SYMMETRY, OMP, 0.000032
16, 2, TRANSPOSITION, OMP, 0.000011
16, 2, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 2, TRANSPOSITION, IMPLICIT, 0.000001
16, 2, SYMMETRY, OMP, 0.000031
16, 2, TRANSPOSITION, OMP, 0.000006
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 2, TRANSPOSITION, IMPLICIT, 0.000002
32, 2, SYMMETRY, OMP, 0.000061
32, 2, TRANSPOSITION, OMP, 0.000024
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 2, TRANSPOSITION, IMPLICIT, 0.000002
32, 2, SYMMETRY, OMP, 0.000095
32, 2, TRANSPOSITION, OMP, 0.000033
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 2, TRANSPOSITION, IMPLICIT, 0.000002
32, 2, SYMMETRY, OMP, 0.000056
32, 2, TRANSPOSITION, OMP, 0.000033
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 2, TRANSPOSITION, IMPLICIT, 0.000002
32, 2, SYMMETRY, OMP, 0.000056
32, 2, TRANSPOSITION, OMP, 0.000034
32, 2, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 2, TRANSPOSITION, IMPLICIT, 0.000002
32, 2, SYMMETRY, OMP, 0.000057
32, 2, TRANSPOSITION, OMP, 0.000032
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000009
64, 2, TRANSPOSITION, IMPLICIT, 0.000008
64, 2, SYMMETRY, OMP, 0.000118
64, 2, TRANSPOSITION, OMP, 0.000050
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 2, TRANSPOSITION, IMPLICIT, 0.000008
64, 2, SYMMETRY, OMP, 0.000112
64, 2, TRANSPOSITION, OMP, 0.000059
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 2, TRANSPOSITION, IMPLICIT, 0.000008
64, 2, SYMMETRY, OMP, 0.000116
64, 2, TRANSPOSITION, OMP, 0.000061
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000008
64, 2, TRANSPOSITION, IMPLICIT, 0.000010
64, 2, SYMMETRY, OMP, 0.000113
64, 2, TRANSPOSITION, OMP, 0.000055
64, 2, TRANSPOSITION, SEQUENTIAL, 0.000008
64, 2, TRANSPOSITION, IMPLICIT, 0.000007
64, 2, SYMMETRY, OMP, 0.000113
64, 2, TRANSPOSITION, OMP, 0.000054
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000035
128, 2, TRANSPOSITION, IMPLICIT, 0.000038
128, 2, SYMMETRY, OMP, 0.000252
128, 2, TRANSPOSITION, OMP, 0.000076
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000023
128, 2, TRANSPOSITION, IMPLICIT, 0.000027
128, 2, SYMMETRY, OMP, 0.000218
128, 2, TRANSPOSITION, OMP, 0.000081
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000023
128, 2, TRANSPOSITION, IMPLICIT, 0.000027
128, 2, SYMMETRY, OMP, 0.000218
128, 2, TRANSPOSITION, OMP, 0.000051
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000023
128, 2, TRANSPOSITION, IMPLICIT, 0.000026
128, 2, SYMMETRY, OMP, 0.000221
128, 2, TRANSPOSITION, OMP, 0.000057
128, 2, TRANSPOSITION, SEQUENTIAL, 0.000023
128, 2, TRANSPOSITION, IMPLICIT, 0.000027
128, 2, SYMMETRY, OMP, 0.000202
128, 2, TRANSPOSITION, OMP, 0.000062
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000117
256, 2, TRANSPOSITION, IMPLICIT, 0.000109
256, 2, SYMMETRY, OMP, 0.000441
256, 2, TRANSPOSITION, OMP, 0.000194
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000104
256, 2, TRANSPOSITION, IMPLICIT, 0.000107
256, 2, SYMMETRY, OMP, 0.000470
256, 2, TRANSPOSITION, OMP, 0.000204
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000097
256, 2, TRANSPOSITION, IMPLICIT, 0.000106
256, 2, SYMMETRY, OMP, 0.000468
256, 2, TRANSPOSITION, OMP, 0.000181
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000098
256, 2, TRANSPOSITION, IMPLICIT, 0.000097
256, 2, SYMMETRY, OMP, 0.000372
256, 2, TRANSPOSITION, OMP, 0.000141
256, 2, TRANSPOSITION, SEQUENTIAL, 0.000041
256, 2, TRANSPOSITION, IMPLICIT, 0.000044
256, 2, SYMMETRY, OMP, 0.000212
256, 2, TRANSPOSITION, OMP, 0.000125
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000414
512, 2, TRANSPOSITION, IMPLICIT, 0.000410
512, 2, SYMMETRY, OMP, 0.000959
512, 2, TRANSPOSITION, OMP, 0.000564
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000422
512, 2, TRANSPOSITION, IMPLICIT, 0.000388
512, 2, SYMMETRY, OMP, 0.000551
512, 2, TRANSPOSITION, OMP, 0.000537
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000390
512, 2, TRANSPOSITION, IMPLICIT, 0.000387
512, 2, SYMMETRY, OMP, 0.000536
512, 2, TRANSPOSITION, OMP, 0.000512
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000389
512, 2, TRANSPOSITION, IMPLICIT, 0.000393
512, 2, SYMMETRY, OMP, 0.000531
512, 2, TRANSPOSITION, OMP, 0.000519
512, 2, TRANSPOSITION, SEQUENTIAL, 0.000389
512, 2, TRANSPOSITION, IMPLICIT, 0.000394
512, 2, SYMMETRY, OMP, 0.000483
