Matrix Size, Threads, Function, Implementation, Execution Time
16, 64, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 64, TRANSPOSITION, IMPLICIT, 0.000001
16, 64, SYMMETRY, OMP, 0.003276
16, 64, TRANSPOSITION, OMP, 0.000037
16, 64, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 64, TRANSPOSITION, IMPLICIT, 0.000001
16, 64, SYMMETRY, OMP, 0.000044
16, 64, TRANSPOSITION, OMP, 0.000034
16, 64, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 64, TRANSPOSITION, IMPLICIT, 0.000001
16, 64, SYMMETRY, OMP, 0.000045
16, 64, TRANSPOSITION, OMP, 0.000034
16, 64, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 64, TRANSPOSITION, IMPLICIT, 0.000002
16, 64, SYMMETRY, OMP, 0.000043
16, 64, TRANSPOSITION, OMP, 0.000036
16, 64, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 64, TRANSPOSITION, IMPLICIT, 0.000001
16, 64, SYMMETRY, OMP, 0.000042
16, 64, TRANSPOSITION, OMP, 0.000033
32, 64, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 64, TRANSPOSITION, IMPLICIT, 0.000002
32, 64, SYMMETRY, OMP, 0.000448
32, 64, TRANSPOSITION, OMP, 0.000036
32, 64, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 64, TRANSPOSITION, IMPLICIT, 0.000002
32, 64, SYMMETRY, OMP, 0.000049
32, 64, TRANSPOSITION, OMP, 0.000040
32, 64, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 64, TRANSPOSITION, IMPLICIT, 0.000002
32, 64, SYMMETRY, OMP, 0.000045
32, 64, TRANSPOSITION, OMP, 0.000039
32, 64, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 64, TRANSPOSITION, IMPLICIT, 0.000002
32, 64, SYMMETRY, OMP, 0.000048
32, 64, TRANSPOSITION, OMP, 0.000039
32, 64, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 64, TRANSPOSITION, IMPLICIT, 0.000002
32, 64, SYMMETRY, OMP, 0.000049
32, 64, TRANSPOSITION, OMP, 0.000041
64, 64, TRANSPOSITION, SEQUENTIAL, 0.000009
64, 64, TRANSPOSITION, IMPLICIT, 0.000008
64, 64, SYMMETRY, OMP, 0.000723
64, 64, TRANSPOSITION, OMP, 0.000083
64, 64, TRANSPOSITION, SEQUENTIAL, 0.000010
64, 64, TRANSPOSITION, IMPLICIT, 0.000009
64, 64, SYMMETRY, OMP, 0.000046
64, 64, TRANSPOSITION, OMP, 0.000063
64, 64, TRANSPOSITION, SEQUENTIAL, 0.000009
64, 64, TRANSPOSITION, IMPLICIT, 0.000010
64, 64, SYMMETRY, OMP, 0.000053
64, 64, TRANSPOSITION, OMP, 0.000070
64, 64, TRANSPOSITION, SEQUENTIAL, 0.000009
64, 64, TRANSPOSITION, IMPLICIT, 0.000010
64, 64, SYMMETRY, OMP, 0.000053
64, 64, TRANSPOSITION, OMP, 0.000070
64, 64, TRANSPOSITION, SEQUENTIAL, 0.000009
64, 64, TRANSPOSITION, IMPLICIT, 0.000009
64, 64, SYMMETRY, OMP, 0.000053
64, 64, TRANSPOSITION, OMP, 0.000072
128, 64, TRANSPOSITION, SEQUENTIAL, 0.000046
128, 64, TRANSPOSITION, IMPLICIT, 0.000033
128, 64, SYMMETRY, OMP, 0.000080
128, 64, TRANSPOSITION, OMP, 0.000125
128, 64, TRANSPOSITION, SEQUENTIAL, 0.000033
128, 64, TRANSPOSITION, IMPLICIT, 0.000038
128, 64, SYMMETRY, OMP, 0.000071
128, 64, TRANSPOSITION, OMP, 0.000129
128, 64, TRANSPOSITION, SEQUENTIAL, 0.000033
128, 64, TRANSPOSITION, IMPLICIT, 0.000038
128, 64, SYMMETRY, OMP, 0.000068
128, 64, TRANSPOSITION, OMP, 0.000126
128, 64, TRANSPOSITION, SEQUENTIAL, 0.000033
128, 64, TRANSPOSITION, IMPLICIT, 0.000033
128, 64, SYMMETRY, OMP, 0.000072
128, 64, TRANSPOSITION, OMP, 0.000130
128, 64, TRANSPOSITION, SEQUENTIAL, 0.000032
128, 64, TRANSPOSITION, IMPLICIT, 0.000038
128, 64, SYMMETRY, OMP, 0.000063
128, 64, TRANSPOSITION, OMP, 0.000141
256, 64, TRANSPOSITION, SEQUENTIAL, 0.000078
256, 64, TRANSPOSITION, IMPLICIT, 0.000065
256, 64, SYMMETRY, OMP, 0.000101
256, 64, TRANSPOSITION, OMP, 0.000133
256, 64, TRANSPOSITION, SEQUENTIAL, 0.000065
256, 64, TRANSPOSITION, IMPLICIT, 0.000068
256, 64, SYMMETRY, OMP, 0.000075
256, 64, TRANSPOSITION, OMP, 0.000138
256, 64, TRANSPOSITION, SEQUENTIAL, 0.000067
256, 64, TRANSPOSITION, IMPLICIT, 0.000087
256, 64, SYMMETRY, OMP, 0.000083
256, 64, TRANSPOSITION, OMP, 0.000122
256, 64, TRANSPOSITION, SEQUENTIAL, 0.000070
256, 64, TRANSPOSITION, IMPLICIT, 0.000068
256, 64, SYMMETRY, OMP, 0.000082
256, 64, TRANSPOSITION, OMP, 0.000137
256, 64, TRANSPOSITION, SEQUENTIAL, 0.000067
256, 64, TRANSPOSITION, IMPLICIT, 0.000068
256, 64, SYMMETRY, OMP, 0.000080
256, 64, TRANSPOSITION, OMP, 0.000123
512, 64, TRANSPOSITION, SEQUENTIAL, 0.000434
512, 64, TRANSPOSITION, IMPLICIT, 0.000392
512, 64, SYMMETRY, OMP, 0.000286
512, 64, TRANSPOSITION, OMP, 0.000251
