Matrix Size, Threads, Function, Implementation, Execution Time
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 8, TRANSPOSITION, IMPLICIT, 0.000001
16, 8, SYMMETRY, OMP, 0.000498
16, 8, TRANSPOSITION, OMP, 0.000013
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 8, TRANSPOSITION, IMPLICIT, 0.000000
16, 8, SYMMETRY, OMP, 0.000015
16, 8, TRANSPOSITION, OMP, 0.000013
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 8, TRANSPOSITION, IMPLICIT, 0.000000
16, 8, SYMMETRY, OMP, 0.000014
16, 8, TRANSPOSITION, OMP, 0.000013
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 8, TRANSPOSITION, IMPLICIT, 0.000000
16, 8, SYMMETRY, OMP, 0.000013
16, 8, TRANSPOSITION, OMP, 0.000014
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 8, TRANSPOSITION, IMPLICIT, 0.000000
16, 8, SYMMETRY, OMP, 0.000015
16, 8, TRANSPOSITION, OMP, 0.000014
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 8, TRANSPOSITION, IMPLICIT, 0.000001
32, 8, SYMMETRY, OMP, 0.000023
32, 8, TRANSPOSITION, OMP, 0.000042
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 8, TRANSPOSITION, IMPLICIT, 0.000000
32, 8, SYMMETRY, OMP, 0.000022
32, 8, TRANSPOSITION, OMP, 0.000032
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 8, TRANSPOSITION, IMPLICIT, 0.000000
32, 8, SYMMETRY, OMP, 0.000020
32, 8, TRANSPOSITION, OMP, 0.000031
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 8, TRANSPOSITION, IMPLICIT, 0.000000
32, 8, SYMMETRY, OMP, 0.000018
32, 8, TRANSPOSITION, OMP, 0.000031
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000000
32, 8, TRANSPOSITION, IMPLICIT, 0.000001
32, 8, SYMMETRY, OMP, 0.000025
32, 8, TRANSPOSITION, OMP, 0.000031
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000003
64, 8, TRANSPOSITION, IMPLICIT, 0.000002
64, 8, SYMMETRY, OMP, 0.000025
64, 8, TRANSPOSITION, OMP, 0.000106
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000003
64, 8, TRANSPOSITION, IMPLICIT, 0.000002
64, 8, SYMMETRY, OMP, 0.000024
64, 8, TRANSPOSITION, OMP, 0.000110
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 8, TRANSPOSITION, IMPLICIT, 0.000002
64, 8, SYMMETRY, OMP, 0.000025
64, 8, TRANSPOSITION, OMP, 0.000112
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 8, TRANSPOSITION, IMPLICIT, 0.000002
64, 8, SYMMETRY, OMP, 0.000023
64, 8, TRANSPOSITION, OMP, 0.000112
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000002
64, 8, TRANSPOSITION, IMPLICIT, 0.000002
64, 8, SYMMETRY, OMP, 0.000025
64, 8, TRANSPOSITION, OMP, 0.000112
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000012
128, 8, TRANSPOSITION, IMPLICIT, 0.000011
128, 8, SYMMETRY, OMP, 0.000046
128, 8, TRANSPOSITION, OMP, 0.000107
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000010
128, 8, TRANSPOSITION, IMPLICIT, 0.000011
128, 8, SYMMETRY, OMP, 0.000044
128, 8, TRANSPOSITION, OMP, 0.000108
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000010
128, 8, TRANSPOSITION, IMPLICIT, 0.000011
128, 8, SYMMETRY, OMP, 0.000041
128, 8, TRANSPOSITION, OMP, 0.000106
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000010
128, 8, TRANSPOSITION, IMPLICIT, 0.000011
128, 8, SYMMETRY, OMP, 0.000041
128, 8, TRANSPOSITION, OMP, 0.000107
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000010
128, 8, TRANSPOSITION, IMPLICIT, 0.000011
128, 8, SYMMETRY, OMP, 0.000047
128, 8, TRANSPOSITION, OMP, 0.000115
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000055
256, 8, TRANSPOSITION, IMPLICIT, 0.000039
256, 8, SYMMETRY, OMP, 0.000102
256, 8, TRANSPOSITION, OMP, 0.000109
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000037
256, 8, TRANSPOSITION, IMPLICIT, 0.000042
256, 8, SYMMETRY, OMP, 0.000082
256, 8, TRANSPOSITION, OMP, 0.000100
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000037
256, 8, TRANSPOSITION, IMPLICIT, 0.000042
256, 8, SYMMETRY, OMP, 0.000083
256, 8, TRANSPOSITION, OMP, 0.000109
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000037
256, 8, TRANSPOSITION, IMPLICIT, 0.000042
256, 8, SYMMETRY, OMP, 0.000094
256, 8, TRANSPOSITION, OMP, 0.000109
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000037
256, 8, TRANSPOSITION, IMPLICIT, 0.000046
256, 8, SYMMETRY, OMP, 0.000090
256, 8, TRANSPOSITION, OMP, 0.000102
512, 8, TRANSPOSITION, SEQUENTIAL, 0.000386
512, 8, TRANSPOSITION, IMPLICIT, 0.000382
512, 8, SYMMETRY, OMP, 0.000379
512, 8, TRANSPOSITION, OMP, 0.000306
512, 8, TRANSPOSITION, SEQUENTIAL, 0.000388
512, 8, TRANSPOSITION, IMPLICIT, 0.000383
512, 8, SYMMETRY, OMP, 0.000159
512, 8, TRANSPOSITION, OMP, 0.000241
