Matrix Size, Threads, Function, Implementation, Execution Time
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 8, TRANSPOSITION, IMPLICIT, 0.000001
16, 8, SYMMETRY, OMP, 0.000695
16, 8, TRANSPOSITION, OMP, 0.000016
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 8, TRANSPOSITION, IMPLICIT, 0.000001
16, 8, SYMMETRY, OMP, 0.000015
16, 8, TRANSPOSITION, OMP, 0.000015
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 8, TRANSPOSITION, IMPLICIT, 0.000001
16, 8, SYMMETRY, OMP, 0.000015
16, 8, TRANSPOSITION, OMP, 0.000014
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 8, TRANSPOSITION, IMPLICIT, 0.000001
16, 8, SYMMETRY, OMP, 0.000016
16, 8, TRANSPOSITION, OMP, 0.000015
16, 8, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 8, TRANSPOSITION, IMPLICIT, 0.000001
16, 8, SYMMETRY, OMP, 0.000016
16, 8, TRANSPOSITION, OMP, 0.000016
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 8, TRANSPOSITION, IMPLICIT, 0.000002
32, 8, SYMMETRY, OMP, 0.000027
32, 8, TRANSPOSITION, OMP, 0.000102
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 8, TRANSPOSITION, IMPLICIT, 0.000002
32, 8, SYMMETRY, OMP, 0.000024
32, 8, TRANSPOSITION, OMP, 0.000037
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 8, TRANSPOSITION, IMPLICIT, 0.000002
32, 8, SYMMETRY, OMP, 0.000024
32, 8, TRANSPOSITION, OMP, 0.000038
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 8, TRANSPOSITION, IMPLICIT, 0.000002
32, 8, SYMMETRY, OMP, 0.000025
32, 8, TRANSPOSITION, OMP, 0.000037
32, 8, TRANSPOSITION, SEQUENTIAL, 0.000002
32, 8, TRANSPOSITION, IMPLICIT, 0.000002
32, 8, SYMMETRY, OMP, 0.000024
32, 8, TRANSPOSITION, OMP, 0.000038
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000008
64, 8, TRANSPOSITION, IMPLICIT, 0.000007
64, 8, SYMMETRY, OMP, 0.000045
64, 8, TRANSPOSITION, OMP, 0.000131
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 8, TRANSPOSITION, IMPLICIT, 0.000007
64, 8, SYMMETRY, OMP, 0.000041
64, 8, TRANSPOSITION, OMP, 0.000127
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 8, TRANSPOSITION, IMPLICIT, 0.000007
64, 8, SYMMETRY, OMP, 0.000038
64, 8, TRANSPOSITION, OMP, 0.000132
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 8, TRANSPOSITION, IMPLICIT, 0.000009
64, 8, SYMMETRY, OMP, 0.000039
64, 8, TRANSPOSITION, OMP, 0.000136
64, 8, TRANSPOSITION, SEQUENTIAL, 0.000007
64, 8, TRANSPOSITION, IMPLICIT, 0.000009
64, 8, SYMMETRY, OMP, 0.000038
64, 8, TRANSPOSITION, OMP, 0.000129
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000035
128, 8, TRANSPOSITION, IMPLICIT, 0.000037
128, 8, SYMMETRY, OMP, 0.000086
128, 8, TRANSPOSITION, OMP, 0.000156
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000032
128, 8, TRANSPOSITION, IMPLICIT, 0.000037
128, 8, SYMMETRY, OMP, 0.000078
128, 8, TRANSPOSITION, OMP, 0.000158
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000044
128, 8, TRANSPOSITION, IMPLICIT, 0.000037
128, 8, SYMMETRY, OMP, 0.000073
128, 8, TRANSPOSITION, OMP, 0.000157
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000019
128, 8, TRANSPOSITION, IMPLICIT, 0.000022
128, 8, SYMMETRY, OMP, 0.000078
128, 8, TRANSPOSITION, OMP, 0.000142
128, 8, TRANSPOSITION, SEQUENTIAL, 0.000019
128, 8, TRANSPOSITION, IMPLICIT, 0.000022
128, 8, SYMMETRY, OMP, 0.000073
128, 8, TRANSPOSITION, OMP, 0.000155
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000106
256, 8, TRANSPOSITION, IMPLICIT, 0.000090
256, 8, SYMMETRY, OMP, 0.000150
256, 8, TRANSPOSITION, OMP, 0.000157
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000080
256, 8, TRANSPOSITION, IMPLICIT, 0.000090
256, 8, SYMMETRY, OMP, 0.000139
256, 8, TRANSPOSITION, OMP, 0.000148
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000080
256, 8, TRANSPOSITION, IMPLICIT, 0.000100
256, 8, SYMMETRY, OMP, 0.000129
256, 8, TRANSPOSITION, OMP, 0.000145
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000080
256, 8, TRANSPOSITION, IMPLICIT, 0.000088
256, 8, SYMMETRY, OMP, 0.000127
256, 8, TRANSPOSITION, OMP, 0.000140
256, 8, TRANSPOSITION, SEQUENTIAL, 0.000080
256, 8, TRANSPOSITION, IMPLICIT, 0.000090
256, 8, SYMMETRY, OMP, 0.000146
256, 8, TRANSPOSITION, OMP, 0.000141
512, 8, TRANSPOSITION, SEQUENTIAL, 0.000392
512, 8, TRANSPOSITION, IMPLICIT, 0.000387
512, 8, SYMMETRY, OMP, 0.000325
512, 8, TRANSPOSITION, OMP, 0.000265
512, 8, TRANSPOSITION, SEQUENTIAL, 0.000389
512, 8, TRANSPOSITION, IMPLICIT, 0.000387
512, 8, SYMMETRY, OMP, 0.000178
512, 8, TRANSPOSITION, OMP, 0.000250
