Matrix Size,Threads,Function,Implementation,Execution Time
16,1,SYMMETRY,SEQUENTIAL,0.000001319
16,1,TRANSPOSITION,SEQUENTIAL,0.000000864
16,1,SYMMETRY,IMPLICIT,0.000001207
16,1,TRANSPOSITION,IMPLICIT,0.000000700
16,1,SYMMETRY,OMP,0.000090659
16,1,TRANSPOSITION,OMP,0.000002839
16,1,SYMMETRY,SEQUENTIAL,0.000000838
16,1,TRANSPOSITION,SEQUENTIAL,0.000000648
16,1,SYMMETRY,IMPLICIT,0.000001043
16,1,TRANSPOSITION,IMPLICIT,0.000000536
16,1,SYMMETRY,OMP,0.000043962
16,1,TRANSPOSITION,OMP,0.000002529
16,1,SYMMETRY,SEQUENTIAL,0.000000659
16,1,TRANSPOSITION,SEQUENTIAL,0.000000637
16,1,SYMMETRY,IMPLICIT,0.000000820
16,1,TRANSPOSITION,IMPLICIT,0.000000529
16,1,SYMMETRY,OMP,0.000041667
16,1,TRANSPOSITION,OMP,0.000002440
16,1,SYMMETRY,SEQUENTIAL,0.000000630
16,1,TRANSPOSITION,SEQUENTIAL,0.000000618
16,1,SYMMETRY,IMPLICIT,0.000000644
16,1,TRANSPOSITION,IMPLICIT,0.000000522
16,1,SYMMETRY,OMP,0.000041675
16,1,TRANSPOSITION,OMP,0.000002384
16,1,SYMMETRY,SEQUENTIAL,0.000000566
16,1,TRANSPOSITION,SEQUENTIAL,0.000000615
16,1,SYMMETRY,IMPLICIT,0.000000682
16,1,TRANSPOSITION,IMPLICIT,0.000000555
16,1,SYMMETRY,OMP,0.000041019
16,1,TRANSPOSITION,OMP,0.000002407
16,1,TRANSPOSITION,SEQUENTIAL,0.000000630
16,1,TRANSPOSITION,IMPLICIT,0.000000536
16,1,TRANSPOSITION,OMP,0.000002734
16,1,TRANSPOSITION,SEQUENTIAL,0.000000637
16,1,TRANSPOSITION,IMPLICIT,0.000000536
16,1,TRANSPOSITION,OMP,0.000002488
16,1,TRANSPOSITION,SEQUENTIAL,0.000000637
16,1,TRANSPOSITION,IMPLICIT,0.000000514
16,1,TRANSPOSITION,OMP,0.000002459
16,1,TRANSPOSITION,SEQUENTIAL,0.000000652
16,1,TRANSPOSITION,IMPLICIT,0.000000518
16,1,TRANSPOSITION,OMP,0.000002448
16,1,TRANSPOSITION,SEQUENTIAL,0.000000652
16,1,TRANSPOSITION,IMPLICIT,0.000000514
16,1,TRANSPOSITION,OMP,0.000002407
32,1,SYMMETRY,SEQUENTIAL,0.000002135
32,1,TRANSPOSITION,SEQUENTIAL,0.000002362
32,1,SYMMETRY,IMPLICIT,0.000002746
32,1,TRANSPOSITION,IMPLICIT,0.000001874
32,1,SYMMETRY,OMP,0.000090461
32,1,TRANSPOSITION,OMP,0.000004955
32,1,SYMMETRY,SEQUENTIAL,0.000002064
32,1,TRANSPOSITION,SEQUENTIAL,0.000002272
32,1,SYMMETRY,IMPLICIT,0.000002805
32,1,TRANSPOSITION,IMPLICIT,0.000001743
32,1,SYMMETRY,OMP,0.000085004
32,1,TRANSPOSITION,OMP,0.000004862
32,1,SYMMETRY,SEQUENTIAL,0.000002056
32,1,TRANSPOSITION,SEQUENTIAL,0.000002258
32,1,SYMMETRY,IMPLICIT,0.000002526
32,1,TRANSPOSITION,IMPLICIT,0.000001717
32,1,SYMMETRY,OMP,0.000084631
32,1,TRANSPOSITION,OMP,0.000004809
32,1,SYMMETRY,SEQUENTIAL,0.000001892
32,1,TRANSPOSITION,SEQUENTIAL,0.000002228
32,1,SYMMETRY,IMPLICIT,0.000002500
32,1,TRANSPOSITION,IMPLICIT,0.000001732
32,1,SYMMETRY,OMP,0.000091642
32,1,TRANSPOSITION,OMP,0.000004929
32,1,SYMMETRY,SEQUENTIAL,0.000001721
32,1,TRANSPOSITION,SEQUENTIAL,0.000002243
32,1,SYMMETRY,IMPLICIT,0.000002433
32,1,TRANSPOSITION,IMPLICIT,0.000001952
32,1,SYMMETRY,OMP,0.000084698
32,1,TRANSPOSITION,OMP,0.000004843
32,1,TRANSPOSITION,SEQUENTIAL,0.000002310
32,1,TRANSPOSITION,IMPLICIT,0.000001777
32,1,TRANSPOSITION,OMP,0.000005115
32,1,TRANSPOSITION,SEQUENTIAL,0.000002291
32,1,TRANSPOSITION,IMPLICIT,0.000001770
32,1,TRANSPOSITION,OMP,0.000004873
32,1,TRANSPOSITION,SEQUENTIAL,0.000002243
32,1,TRANSPOSITION,IMPLICIT,0.000001721
32,1,TRANSPOSITION,OMP,0.000004824
32,1,TRANSPOSITION,SEQUENTIAL,0.000002265
32,1,TRANSPOSITION,IMPLICIT,0.000001717
32,1,TRANSPOSITION,OMP,0.000004757
32,1,TRANSPOSITION,SEQUENTIAL,0.000002198
32,1,TRANSPOSITION,IMPLICIT,0.000001717
32,1,TRANSPOSITION,OMP,0.000004731
64,1,SYMMETRY,SEQUENTIAL,0.000006348
64,1,TRANSPOSITION,SEQUENTIAL,0.000009567
64,1,SYMMETRY,IMPLICIT,0.000009753
64,1,TRANSPOSITION,IMPLICIT,0.000007376
64,1,SYMMETRY,OMP,0.000178002
64,1,TRANSPOSITION,OMP,0.000014484
64,1,SYMMETRY,SEQUENTIAL,0.000006374
64,1,TRANSPOSITION,SEQUENTIAL,0.000008732
64,1,SYMMETRY,IMPLICIT,0.000009630
64,1,TRANSPOSITION,IMPLICIT,0.000007313
64,1,SYMMETRY,OMP,0.000181492
64,1,TRANSPOSITION,OMP,0.000014413
64,1,SYMMETRY,SEQUENTIAL,0.000006311
64,1,TRANSPOSITION,SEQUENTIAL,0.000008754
64,1,SYMMETRY,IMPLICIT,0.000009499
64,1,TRANSPOSITION,IMPLICIT,0.000007339
64,1,SYMMETRY,OMP,0.000173740
64,1,TRANSPOSITION,OMP,0.000014316
64,1,SYMMETRY,SEQUENTIAL,0.000006389
64,1,TRANSPOSITION,SEQUENTIAL,0.000008598
64,1,SYMMETRY,IMPLICIT,0.000009518
64,1,TRANSPOSITION,IMPLICIT,0.000007313
64,1,SYMMETRY,OMP,0.000172798
64,1,TRANSPOSITION,OMP,0.000014365
64,1,SYMMETRY,SEQUENTIAL,0.000006303
