Matrix Size, Threads, Function, Implementation, Execution Time
16, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 16, TRANSPOSITION, IMPLICIT, 0.000001
16, 16, SYMMETRY, OMP, 0.001298
16, 16, TRANSPOSITION, OMP, 0.000017
16, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 16, TRANSPOSITION, IMPLICIT, 0.000001
16, 16, SYMMETRY, OMP, 0.000015
16, 16, TRANSPOSITION, OMP, 0.000015
16, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 16, TRANSPOSITION, IMPLICIT, 0.000001
16, 16, SYMMETRY, OMP, 0.000016
16, 16, TRANSPOSITION, OMP, 0.000016
16, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
16, 16, TRANSPOSITION, IMPLICIT, 0.000000
16, 16, SYMMETRY, OMP, 0.000017
16, 16, TRANSPOSITION, OMP, 0.000015
16, 16, TRANSPOSITION, SEQUENTIAL, 0.000000
16, 16, TRANSPOSITION, IMPLICIT, 0.000000
16, 16, SYMMETRY, OMP, 0.000014
16, 16, TRANSPOSITION, OMP, 0.000013
32, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 16, TRANSPOSITION, IMPLICIT, 0.000001
32, 16, SYMMETRY, OMP, 0.000027
32, 16, TRANSPOSITION, OMP, 0.000024
32, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 16, TRANSPOSITION, IMPLICIT, 0.000001
32, 16, SYMMETRY, OMP, 0.000020
32, 16, TRANSPOSITION, OMP, 0.000025
32, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 16, TRANSPOSITION, IMPLICIT, 0.000001
32, 16, SYMMETRY, OMP, 0.000022
32, 16, TRANSPOSITION, OMP, 0.000026
32, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 16, TRANSPOSITION, IMPLICIT, 0.000001
32, 16, SYMMETRY, OMP, 0.000021
32, 16, TRANSPOSITION, OMP, 0.000033
32, 16, TRANSPOSITION, SEQUENTIAL, 0.000001
32, 16, TRANSPOSITION, IMPLICIT, 0.000001
32, 16, SYMMETRY, OMP, 0.000022
32, 16, TRANSPOSITION, OMP, 0.000025
64, 16, TRANSPOSITION, SEQUENTIAL, 0.000003
64, 16, TRANSPOSITION, IMPLICIT, 0.000002
64, 16, SYMMETRY, OMP, 0.000034
64, 16, TRANSPOSITION, OMP, 0.000071
